DATE,PCODE
20151119,0
20151120,1
20151121,11
20151122,110
20151123,100
20151124,0
20151125,0
20151126,0
20151127,1
20151128,11
20151129,110
20151130,100
20151201,0
20151202,0
20151203,0
20151204,1
20151205,11
20151206,110
20151207,100
20151208,0
20151209,0
20151210,0
20151211,1
20151212,11
20151213,110
20151214,100
20151215,0
20151216,0
20151217,0
20151218,1
20151219,11
20151220,110
20151221,100
20151222,0
20151223,0
20151224,1
20151225,12
20151226,111
20151227,110
20151228,100
20151229,0
20151230,0
20151231,1
20160101,12
20160102,111
20160103,110
20160104,100
20160105,0
20160106,0
20160107,0
20160108,1
20160109,11
20160110,110
20160111,100
20160112,0
20160113,0
20160114,0
20160115,1
20160116,11
20160117,110
20160118,100
20160119,0
20160120,0
20160121,0
20160122,1
20160123,11
20160124,110
20160125,100
20160126,0
20160127,0
20160128,0
20160129,1
20160130,11
20160131,110
20160201,100
20160202,0
20160203,0
20160204,0
20160205,1
20160206,A-2
20160207,A-1
20160208,A0
20160209,A+1
20160210,A+2
20160211,100
20160212,1
20160213,11
20160214,110
20160215,100
20160216,0
20160217,0
20160218,0
20160219,1
20160220,11
20160221,110
20160222,100
20160223,0
20160224,0
20160225,0
20160226,1
20160227,12
20160228,110
20160229,101
20160301,S10
20160302,100
20160303,0
20160304,1
20160305,11
20160306,110
20160307,100
20160308,0
20160309,0
20160310,0
20160311,1
20160312,11
20160313,110
20160314,100
20160315,0
20160316,0
20160317,0
20160318,1
20160319,11
20160320,110
20160321,100
20160322,0
20160323,0
20160324,0
20160325,1
20160326,11
20160327,110
20160328,100
20160329,0
20160330,0
20160331,0
20160401,1
20160402,11
20160403,110
20160404,100
20160405,0
20160406,0
20160407,0
20160408,1
20160409,11
20160410,110
20160411,100
20160412,1
20160413,10
20160414,100
20160415,1
20160416,11
20160417,110
20160418,100
20160419,0
20160420,0
20160421,0
20160422,1
20160423,11
20160424,110
20160425,100
20160426,0
20160427,0
20160428,0
20160429,1
20160430,11
20160501,110
20160502,100
20160503,0
20160504,1
20160505,12
20160506,111
20160507,111
20160508,110
20160509,100
20160510,0
20160511,0
20160512,0
20160513,1
20160514,11
20160515,110
20160516,100
20160517,0
20160518,0
20160519,0
20160520,1
20160521,11
20160522,110
20160523,100
20160524,0
20160525,0
20160526,0
20160527,1
20160528,11
20160529,110
20160530,100
20160531,0
20160601,0
20160602,0
20160603,1
20160604,12
20160605,111
20160606,110
20160607,100
20160608,0
20160609,0
20160610,1
20160611,11
20160612,110
20160613,100
20160614,0
20160615,0
20160616,0
20160617,1
20160618,11
20160619,110
20160620,100
20160621,0
20160622,0
20160623,0
20160624,1
20160625,11
20160626,110
20160627,100
20160628,0
20160629,0
20160630,0
20160701,1
20160702,11
20160703,110
20160704,100
20160705,0
20160706,0
20160707,0
20160708,1
20160709,11
20160710,110
20160711,100
20160712,0
20160713,0
20160714,0
20160715,1
20160716,11
